race,post_time,distance,surface,purse,race_type,stakes,field_size,top1_program,top1_name,top1_pct,top2_program,top2_name,top2_pct,top3_program,top3_name,top3_pct,top4_program,top4_name,top4_pct,exotic_structure,exotic_unit_cost,exotic_total_cost,exotic_rationale
1,12:45 PM,6f,Dirt,78000,Clm  50000b,,7,1,Banned for Life,45.0,6,You Ain't Poppn,20.5,4,Star's Image,15.9,7,Tejon Pass,6.6,Trifecta key 1st OVER top 3,0.5,3.0,"#1 Banned for Life dominates at 45%. Single on top, spread under."
2,1:15 PM,6f,Dirt,127000,Alw  127000n1x,,3,5,Shared Vision,60.1,2,She'z the Law,25.4,3,Cotillard,14.5,,,,PASS — too small a field for exotic,,,
3,1:45 PM,1m,Dirt,57000,MC 30000,,8,5,Spotted,29.9,3,My Secret Dreams,15.3,6,Kopiana,13.5,9,Souperrazzledazzle,12.8,Superfecta 5-horse box (chaos play),0.1,12.0,Wide-open. Top 5 = 80%. Chaos super box.
4,2:18 PM,1 1/16m,Turf,67000,MC 50000,,12,8,Theoretical,21.6,3,Devices,16.6,4,Lexico,15.0,12,Breaking Hearts,12.1,Superfecta 5-horse box (chaos play),0.1,12.0,Wide-open. Top 5 = 75%. Chaos super box.
5,2:52 PM,1m,Dirt,35000,MC 12500,,12,3,Jinxzi,19.8,12,Tregetour,16.8,1,Chasing Gray,13.6,8,Ando,12.1,Superfecta 5-horse box (chaos play),0.1,12.0,Wide-open. Top 5 = 73%. Chaos super box.
7,4:03 PM,1 1/16m,Turf,120000,Mdn 120k,,12,1,Honfleur,30.6,4,Cape Sounion,21.3,5,Heavenly Melody,12.5,7,Vow to Resiliency,10.0,Trifecta 3-horse box,0.5,3.0,Top 3 cover 64% — tri box at $0.50.
8,4:40 PM,7f,Dirt,83000,Alw  50000s,,6,6,Jensco,32.2,2,Our Shenanigan,23.6,1,Angel Bella,21.9,7,Madeline's Promise,9.5,Superfecta 4-horse box,0.1,2.4,Top 4 cover 87% — cheap super box catches any order.
9,5:14 PM,1m,Turf,350000,OpningVrsL350K,,8,8,Lagynos,38.1,4,Quatrocento,23.3,9,West Hollywood,9.6,2,Minaret Station,6.8,Trifecta key 1st OVER top 3,0.5,3.0,"#8 Lagynos dominates at 38%. Single on top, spread under."
10,5:50 PM,6f,Dirt,200000,StMatthwsB200K,,8,2,Built,30.3,9,Maximum Bourbon,19.7,6,Back Em Up,15.9,1,Concrete Glory,14.6,Superfecta 4-horse box,0.1,2.4,Top 4 cover 80% — cheap super box catches any order.
11,6:22 PM,5 1/2f,Turf,300000,Mamzelle-G3,,9,5,Cy Fair,27.9,8,Slay the Day,19.5,6,Hen Party,14.0,3,Final Accord,12.6,Superfecta 5-horse box (chaos play),0.1,12.0,Wide-open. Top 5 = 83%. Chaos super box.
12,6:53 PM,6f,Dirt,67000,MC 50000,,10,7,Mizzou,23.8,6,Prime Power,20.1,9,Barker,15.2,8,Five Wishes,10.8,Superfecta 5-horse box (chaos play),0.1,12.0,Wide-open. Top 5 = 79%. Chaos super box.
