race,race_type,structure,tickets,unit_cost,total_cost,hit_prob_est_pct,rationale
1,Clm  50000b,Trifecta key 1st OVER top 3,"1 / 6,4,7 / 6,4,7",0.5,3.0,35.1,"#1 Banned for Life dominates at 45%. Single on top, spread under."
2,Alw  127000n1x,PASS — too small a field for exotic,,,,,
3,MC 30000,Superfecta 5-horse box (chaos play),5-3-6-9-4 BOX,0.1,12.0,36.0,Wide-open. Top 5 = 80%. Chaos super box.
4,MC 50000,Superfecta 5-horse box (chaos play),8-3-4-12-11 BOX,0.1,12.0,33.7,Wide-open. Top 5 = 75%. Chaos super box.
5,MC 12500,Superfecta 5-horse box (chaos play),3-12-1-8-6 BOX,0.1,12.0,32.7,Wide-open. Top 5 = 73%. Chaos super box.
7,Mdn 120k,Trifecta 3-horse box,1-4-5 BOX,0.5,3.0,35.4,Top 3 cover 64% — tri box at $0.50.
8,Alw  50000s,Superfecta 4-horse box,6-2-1-7 BOX,0.1,2.4,48.0,Top 4 cover 87% — cheap super box catches any order.
9,OpningVrsL350K,Trifecta key 1st OVER top 3,"8 / 4,9,2 / 4,9,2",0.5,3.0,24.4,"#8 Lagynos dominates at 38%. Single on top, spread under."
10,StMatthwsB200K,Superfecta 4-horse box,2-9-6-1 BOX,0.1,2.4,44.3,Top 4 cover 80% — cheap super box catches any order.
11,Mamzelle-G3,Superfecta 5-horse box (chaos play),5-8-6-3-1 BOX,0.1,12.0,37.1,Wide-open. Top 5 = 83%. Chaos super box.
12,MC 50000,Superfecta 5-horse box (chaos play),7-6-9-8-10 BOX,0.1,12.0,35.5,Wide-open. Top 5 = 79%. Chaos super box.
