race,post_time,distance,surface,purse,race_type,stakes,program,name,jockey,trainer,post_position,ml_odds,style,prime_power,best_last3_beyer,mud_pct,market_prob_pct,post_iv,style_iv,bias_factor,ability_factor,trainer_tier_bonus,jockey_tier_bonus,score_pct,rank,is_top_pick
1,,1ˆMile,Dirt,120000,Mdn120k,,11,Powershift,Irad Ortiz Jr.,Todd A. Pletcher,11,3.0,P,133.3,98,,19.7,0.78,0.90,0.925,1.150,0.07,0.05,21.5,1,YES
1,,1ˆMile,Dirt,120000,Mdn120k,,3,Silent Way,Flavien Prat,Peter Eurton,3,4.0,E,128.2,90,,15.7,1.25,1.10,1.083,1.087,0.00,0.04,17.7,2,
1,,1ˆMile,Dirt,120000,Mdn120k,,9,Winston Ave,Juan J. Hernandez,Bob Baffert,9,4.5,EP,132.6,91,,14.3,0.78,1.20,0.985,1.146,0.00,0.00,14.8,3,
1,,1ˆMile,Dirt,120000,Mdn120k,,8,Bourbon Dream,Mario Gutierrez,Fausto Gutierrez,8,5.0,P,123.3,89,,13.1,0.78,0.90,0.925,1.124,0.00,0.00,12.5,4,
1,,1ˆMile,Dirt,120000,Mdn120k,,6,Cromwell,Jose L. Ortiz,Cherie Devaux,6,6.0,P,121.4,86,,11.2,1.00,0.90,0.980,0.969,0.04,0.05,10.7,5,
1,,1ˆMile,Dirt,120000,Mdn120k,,10,Midnight Playboy,Junior Alvarado,Riley Mott,10,15.0,NA,,,,4.9,0.78,1.00,0.945,1.000,0.00,0.00,4.3,6,
1,,1ˆMile,Dirt,120000,Mdn120k,,1,Bhatia,Luis Saez,Christopher Davis,1,15.0,S,118.4,81,,4.9,1.25,0.80,1.022,0.882,0.00,0.04,4.2,7,
1,,1ˆMile,Dirt,120000,Mdn120k,,5,Get Them Roses,Tyler Gaffalione,Brendan P. Walsh,5,15.0,NA,116.1,81,,4.9,1.00,1.00,1.000,0.857,0.05,0.04,4.2,8,
1,,1ˆMile,Dirt,120000,Mdn120k,,4,Ingleborough,Martin Garcia,Dale L. Romans,4,20.0,NA,119.7,77,,3.7,1.00,1.00,1.000,1.046,0.04,0.00,3.7,9,
1,,1ˆMile,Dirt,120000,Mdn120k,,2,Stakeholder,Brian J. Hernandez Jr.,Ian R. Wilkes,2,20.0,S,119.2,82,,3.7,1.25,0.80,1.022,0.902,0.04,0.00,3.3,10,
1,,1ˆMile,Dirt,120000,Mdn120k,,7,Time to Strike,John R. Velazquez,Mark E. Casse,7,20.0,E,114.9,73,,3.7,1.00,1.10,1.020,0.850,0.05,0.00,3.1,11,
2,,1ˆMile,Dirt,127000,OC 125000n1x,,8,Taptastic,Irad Ortiz Jr.,Steven M. Asmussen,8,3.0,P,134.0,91,,19.5,0.78,0.90,0.925,1.132,0.05,0.05,20.5,1,YES
2,,1ˆMile,Dirt,127000,OC 125000n1x,,4,Memory,Flavien Prat,Bob Baffert,4,4.5,P,128.0,91,,14.2,1.00,0.90,0.980,1.017,0.00,0.04,13.4,2,
2,,1ˆMile,Dirt,127000,OC 125000n1x,,1,Out of the Woods,John R. Velazquez,Philip Damato,1,6.0,E,128.0,94,,11.1,1.25,1.10,1.083,1.074,0.03,0.00,12.2,3,
2,,1ˆMile,Dirt,127000,OC 125000n1x,,9,Our Moneyman,Axel Concepcion,W. Bret Calhoun,9,6.0,P,134.0,92,,11.1,0.78,0.90,0.925,1.150,0.00,0.00,10.8,4,
2,,1ˆMile,Dirt,127000,OC 125000n1x,,6,Make My Day,Luis Saez,Todd A. Pletcher,6,8.0,E,128.0,97,,8.7,1.00,1.10,1.020,1.132,0.07,0.04,10.2,5,
2,,1ˆMile,Dirt,127000,OC 125000n1x,,2,Sovereign Law,Manuel Franco,Brad H. Cox,2,8.0,S,126.2,91,,8.7,1.25,0.80,1.022,0.982,0.07,0.00,8.5,6,
2,,1ˆMile,Dirt,127000,OC 125000n1x,,11,Lincoln's Law,Tyler Gaffalione,Philip A. Bauer,11,10.0,EP,132.3,95,,7.1,0.78,1.20,0.985,1.150,0.03,0.04,7.9,7,
2,,1ˆMile,Dirt,127000,OC 125000n1x,,7,Very Connected,Christopher Elliott,Kenneth G. Mcpeek,7,12.0,S,126.0,88,,6.0,1.00,0.80,0.960,0.921,0.04,0.00,5.0,8,
2,,1ˆMile,Dirt,127000,OC 125000n1x,,10,J J Grey,Brian J. Hernandez Jr.,Kenneth G. Mcpeek,10,15.0,EP,126.9,87,,4.9,0.78,1.20,0.985,0.919,0.04,0.00,4.2,9,
2,,1ˆMile,Dirt,127000,OC 125000n1x,,3,Steel,Junior Alvarado,William I. Mott,3,20.0,S,129.1,83,,3.7,1.25,0.80,1.022,0.884,0.05,0.00,3.2,10,
2,,1ˆMile,Dirt,127000,OC 125000n1x,,5,Seal Bay,Summer Pauly,Ed Moger Jr.,5,30.0,EP,117.7,82,,2.5,1.00,1.20,1.040,0.850,0.00,0.00,2.0,11,
2,,1ˆMile,Dirt,127000,OC 125000n1x,,12,Spirit of Royal,Cristian A. Torres,Dallas Stewart,12,30.0,S,130.4,86,,2.5,0.78,0.80,0.905,0.967,0.00,0.00,2.0,12,
3,,1Mile,Dirt,134000,OC 80000n2x,,12,Praetor,Flavien Prat,Chad C. Brown,12,3.0,E,143.9,103,,19.5,0.78,1.10,0.965,1.150,0.06,0.04,21.4,1,YES
3,,1Mile,Dirt,134000,OC 80000n2x,,6,Who Dey,Brian J. Hernandez Jr.,Thomas Drury Jr.,6,4.5,P,137.4,95,,14.1,1.00,0.90,0.980,1.110,0.03,0.00,14.3,2,
3,,1Mile,Dirt,134000,OC 80000n2x,,5,John Hancock,Irad Ortiz Jr.,Brad H. Cox,5,6.0,E,144.0,97,,11.1,1.00,1.10,1.020,1.150,0.07,0.05,13.1,3,
3,,1Mile,Dirt,134000,OC 80000n2x,,10,Vibe,Luis Saez,Todd A. Pletcher,10,6.0,EP,131.1,90,,11.1,0.78,1.20,0.985,0.994,0.07,0.04,10.9,4,
3,,1Mile,Dirt,134000,OC 80000n2x,,9,Keewaydin,Jaime A. Torres,William Walden,9,8.0,E,134.6,95,,8.6,0.78,1.10,0.965,1.082,0.00,0.00,8.1,5,
3,,1Mile,Dirt,134000,OC 80000n2x,,14,Bullard,John R. Velazquez,Michael W. Mccarthy,14,12.0,P,134.8,92,,6.0,0.78,0.90,0.925,1.053,0.00,0.00,5.2,6,
3,,1Mile,Dirt,134000,OC 80000n2x,,2,Vamos Carlitos,Tyler Gaffalione,Gregory D. Foley,2,15.0,EP,125.3,93,,4.9,1.25,1.20,1.103,0.966,0.04,0.04,5.0,7,
3,,1Mile,Dirt,134000,OC 80000n2x,,4,Comport,Jose L. Ortiz,Eddie Kenneally,4,15.0,EP,134.9,89,,4.9,1.00,1.20,1.040,1.023,0.03,0.05,5.0,8,
3,,1Mile,Dirt,134000,OC 80000n2x,,1,Arro Smash,Gerardo Corrales,Philip A. Bauer,1,15.0,EP,127.5,93,,4.9,1.25,1.20,1.103,0.988,0.03,0.00,4.9,9,
3,,1Mile,Dirt,134000,OC 80000n2x,,8,Racing Driver,Luan Machado,Gustavo Delgado,8,20.0,P,129.4,92,,3.7,0.78,0.90,0.925,0.998,0.00,0.00,3.1,10,
3,,1Mile,Dirt,134000,OC 80000n2x,,13,Attache,Juan J. Hernandez,Michael J. Maker,13,20.0,P,128.1,93,,3.7,0.78,0.90,0.925,0.994,0.00,0.00,3.1,11,
3,,1Mile,Dirt,134000,OC 80000n2x,,3,Special Caliber,Edgar Morales,Michel Douaihy,3,30.0,EP,125.6,84,,2.5,1.25,1.20,1.103,0.877,0.00,0.00,2.2,12,
3,,1Mile,Dirt,134000,OC 80000n2x,,11,Aleman,Danny Sheehy,Kathy Jarvis,11,30.0,EP,121.3,75,,2.5,0.78,1.20,0.985,0.850,0.00,0.00,1.9,13,
3,,1Mile,Dirt,134000,OC 80000n2x,,7,Mitochondria,Mario Gutierrez,Anthony Stephen,7,30.0,S,116.1,78,,2.5,1.00,0.80,0.960,0.850,0.00,0.00,1.8,14,
4,,7Furlongs,Dirt,1000000,DctyDst-G1,,4,Ways and Means,Jose L. Ortiz,Chad C. Brown,4,1.6,EP,150.9,107,,29.8,1.00,1.60,1.120,1.145,0.06,0.05,32.3,1,YES
4,,7Furlongs,Dirt,1000000,DctyDst-G1,,5,Splendora,Flavien Prat,Bob Baffert,5,2.0,EP,149.6,105,,25.8,1.00,1.60,1.120,1.104,0.00,0.04,25.3,2,
4,,7Furlongs,Dirt,1000000,DctyDst-G1,,2,Haulin Ice,Francisco Arrieta,Saffie A. Joseph Jr.,2,4.0,EP,148.1,102,,15.5,1.55,1.60,1.258,1.047,0.04,0.00,16.2,3,
4,,7Furlongs,Dirt,1000000,DctyDst-G1,,1,Usha,Juan J. Hernandez,Bob Baffert,1,4.5,EP,141.3,102,,14.1,1.55,1.60,1.258,0.962,0.00,0.00,13.0,4,
4,,7Furlongs,Dirt,1000000,DctyDst-G1,,6,R Disaster,Tyler Gaffalione,Saffie A. Joseph Jr.,6,6.0,E,148.8,99,,11.1,1.00,1.45,1.090,1.018,0.04,0.04,10.1,5,
4,,7Furlongs,Dirt,1000000,DctyDst-G1,,3,Autumn Evening,Irad Ortiz Jr.,Jose F. D'Angelo,3,20.0,EP,131.3,93,,3.7,1.55,1.60,1.258,0.850,0.00,0.05,3.2,6,
5,,5½Furlongs,Turf,600000,TurfSprt-G2,,3,My Boy Prince,Jose L. Ortiz,Mark E. Casse,3,2.5,EP,157.8,95,,22.8,1.55,1.60,1.258,1.150,0.05,0.05,31.9,1,YES
5,,5½Furlongs,Turf,600000,TurfSprt-G2,,9,Litigation,Irad Ortiz Jr.,Brian A. Lynch,9,3.0,P,160.6,92,,20.0,0.40,1.20,0.890,1.150,0.00,0.05,18.9,2,
5,,5½Furlongs,Turf,600000,TurfSprt-G2,,7,Yellow Card,Flavien Prat,Michael W. Mccarthy,7,4.5,S,155.9,96,,14.5,0.90,0.65,0.905,1.018,0.00,0.04,12.2,3,
5,,5½Furlongs,Turf,600000,TurfSprt-G2,,10,Joe Shiesty,La Cruz Fernando De,Eric N. Foster,10,6.0,EP,147.4,97,,11.4,0.40,1.60,0.970,0.973,0.00,0.00,9.5,4,
5,,5½Furlongs,Turf,600000,TurfSprt-G2,,5,Possiblemente,Manuel Franco,Joe Sharp,5,10.0,EP,148.0,99,,7.3,0.90,1.60,1.095,0.989,0.04,0.00,7.2,5,
5,,5½Furlongs,Turf,600000,TurfSprt-G2,,8,Mondogetsbuckets,Tyler Gaffalione,Chris M. Block,8,8.0,P,140.6,93,,8.9,0.40,1.20,0.890,0.908,0.00,0.04,6.6,6,
5,,5½Furlongs,Turf,600000,TurfSprt-G2,,1,Wendelssohn,Brian J. Hernandez Jr.,Chris A. Hartman,1,15.0,EP,141.7,96,,5.0,1.55,1.60,1.258,0.933,0.00,0.00,5.1,7,
5,,5½Furlongs,Turf,600000,TurfSprt-G2,,6,Its Bourbon Thirty,Luan Machado,Jeremiah O'Dwyer,6,15.0,EP,142.0,93,,5.0,0.90,1.60,1.095,0.917,0.00,0.00,4.4,8,
5,,5½Furlongs,Turf,600000,TurfSprt-G2,,4,Full Disclosure,Adam Beschizza,Amzadali Jehaludi,4,30.0,EP,125.8,87,,2.6,0.90,1.60,1.095,0.866,0.00,0.00,2.1,9,
5,,5½Furlongs,Turf,600000,TurfSprt-G2,,2,Bear River,James Graham,J. Keith Desormeaux,2,30.0,E,134.6,91,,2.6,1.55,0.55,1.047,0.860,0.00,0.00,2.0,10,
6,,1Mile,Dirt,200000,KnicksGoL200K,,2,Dragoon Guard,Irad Ortiz Jr.,Brad H. Cox,2,3.0,E,144.8,99,,19.5,1.25,1.10,1.083,1.150,0.07,0.05,24.2,1,YES
6,,1Mile,Dirt,200000,KnicksGoL200K,,4,Be You,John R. Velazquez,Todd A. Pletcher,4,3.5,P,140.6,98,,17.3,1.00,0.90,0.980,1.150,0.07,0.00,18.6,2,
6,,1Mile,Dirt,200000,KnicksGoL200K,,6,Tour Player,Flavien Prat,D. Whitworth Beckman,6,4.0,EP,138.7,98,,15.6,1.00,1.20,1.040,1.131,0.00,0.04,17.0,3,
