race,post_time,distance,surface,purse,race_type,stakes,field_size,top1_program,top1_name,top1_pct,top2_program,top2_name,top2_pct,top3_program,top3_name,top3_pct,top4_program,top4_name,top4_pct,exotic_structure,exotic_unit_cost,exotic_total_cost,exotic_rationale
1,,1ˆMile,Dirt,120000,Mdn120k,,11,11,Powershift,21.5,3,Silent Way,17.7,9,Winston Ave,14.8,8,Bourbon Dream,12.5,PASS (CHALK MATCH),0,0,Algo top-2 (11-3) = market top-2. Paying 22% takeout on a market chalk box is negative-EV in expectation.
2,,1ˆMile,Dirt,127000,OC 125000n1x,,12,8,Taptastic,20.5,4,Memory,13.4,1,Out of the Woods,12.2,9,Our Moneyman,10.8,PASS (CHALK MATCH),0,0,Algo top-2 (8-4) = market top-2. Paying 22% takeout on a market chalk box is negative-EV in expectation.
3,,1Mile,Dirt,134000,OC 80000n2x,,14,12,Praetor,21.4,6,Who Dey,14.3,5,John Hancock,13.1,10,Vibe,10.9,PASS (CHALK MATCH),0,0,Algo top-2 (12-6) = market top-2. Paying 22% takeout on a market chalk box is negative-EV in expectation.
4,,7Furlongs,Dirt,1000000,DctyDst-G1,,6,4,Ways and Means,32.3,5,Splendora,25.3,2,Haulin Ice,16.2,1,Usha,13.0,PASS (CHALK MATCH),0,0,Algo top-2 (4-5) = market top-2. Paying 22% takeout on a market chalk box is negative-EV in expectation.
5,,5½Furlongs,Turf,600000,TurfSprt-G2,,10,3,My Boy Prince,31.9,9,Litigation,18.9,7,Yellow Card,12.2,10,Joe Shiesty,9.5,PASS (CHALK MATCH),0,0,Algo top-2 (3-9) = market top-2. Paying 22% takeout on a market chalk box is negative-EV in expectation.
6,,1Mile,Dirt,200000,KnicksGoL200K,,11,2,Dragoon Guard,24.2,4,Be You,18.6,6,Tour Player,17.0,10,Capital Idea,11.1,PASS (CHALK MATCH),0,0,Algo top-2 (2-4) = market top-2. Paying 22% takeout on a market chalk box is negative-EV in expectation.
7,,1Mile,Turf,1000000,DstfTfMl-G2,,9,2,Sweet Rebecca,27.8,3,Portfolio Duration,18.2,8,Pin Up Betty,13.3,5,Classic Q,9.5,Superfecta 5-horse box (chaos play),0.1,12.0,PARTIAL EDGE (1 of algo top-2 not in market top-2): Wide-open. Top 5 = 78%. Chaos super box.
8,,1Mile,Dirt,750000,PDayMile-G2,,12,1,Englishman,22.5,6,Crude Velocity,22.4,2,Trouble Calling,14.1,7,Crown the Buckeye,10.9,PASS (CHALK MATCH),0,0,Algo top-2 (1-6) = market top-2. Paying 22% takeout on a market chalk box is negative-EV in expectation.
9,,1ˆMile,Turf,1000000,AmerTurf-G1,,14,4,Stark Contrast,18.7,12,Remember Mamba,14.8,8,Greenwich Village,10.7,7,Alpyland,10.2,PASS (CHALK MATCH),0,0,Algo top-2 (4-12) = market top-2. Paying 22% takeout on a market chalk box is negative-EV in expectation.
10,,7Furlongs,Dirt,1000000,CD-G1,,11,6,Knightsbridge,29.8,2,Cornucopian,19.6,1,Disco Time,13.2,7,Imagination,9.7,PASS (CHALK MATCH),0,0,Algo top-2 (6-2) = market top-2. Paying 22% takeout on a market chalk box is negative-EV in expectation.
11,,,Turf,1500000,TurfClsc-G1 1„Mile(T) 4&up,,10,6,Rhetorical,25.1,4,Program Trading,18.4,9,Test Score,14.2,10,Make Me King,9.2,Superfecta 5-horse box (chaos play),0.1,12.0,PARTIAL EDGE (1 of algo top-2 not in market top-2): Wide-open. Top 5 = 75%. Chaos super box.
12,,1‚Mile,Dirt,5000000,KyDerby-G1,,24,1,Renegade,16.7,6,Commandment,12.2,18,Further Ado,11.1,12,Chief Wallabee,9.0,PASS (CHALK MATCH),0,0,Algo top-2 (1-6) = market top-2. Paying 22% takeout on a market chalk box is negative-EV in expectation.
13,,6½Furlongs,Dirt,127000,OC 125000n1x,,11,10,Buetane,21.2,8,Gilded Bandit,18.6,11,Noble Affair,17.1,1,Small Town,9.2,PASS (CHALK MATCH),0,0,Algo top-2 (10-8) = market top-2. Paying 22% takeout on a market chalk box is negative-EV in expectation.
14,,7Furlongs,Dirt,120000,Mdn120k,,14,8,Find No Fault,14.1,3,Interrogator,13.4,7,Act Of Parliament,11.9,5,Don's Winner,9.1,PASS (CHALK MATCH),0,0,Algo top-2 (8-3) = market top-2. Paying 22% takeout on a market chalk box is negative-EV in expectation.
