race,post_time,distance,surface,purse,race_type,program,name,ml_odds,style,days_since_last,prime_power,current_class,avg_class_last3,class_drop,last3_beyer_best,early_pace_last,late_pace_last,mud_pct,market_prob_pct,pp_prob_pct,model_prob_pct,score_pct,rank,is_top_pick
1,12:45 PM,1 1/4m,Dirt,120000,MSW,6,Pure Joy,1.8,P,0,0,0,0,,0,0,0,0,28.8,28.8,28.8,28.8,1,YES
1,12:45 PM,1 1/4m,Dirt,120000,MSW,5,Plaza Cue,2.0,P,0,0,0,0,,0,0,0,0,26.8,26.8,26.8,26.8,2,
1,12:45 PM,1 1/4m,Dirt,120000,MSW,3,Ati Girl,3.0,P,0,0,0,0,,0,0,0,0,20.1,20.1,20.1,20.1,3,
1,12:45 PM,1 1/4m,Dirt,120000,MSW,2,Island Girl,6.0,P,0,0,0,0,,0,0,0,0,11.5,11.5,11.5,11.5,4,
1,12:45 PM,1 1/4m,Dirt,120000,MSW,1,Too Many Mikes,8.0,P,0,0,0,0,,0,0,0,0,8.9,8.9,8.9,8.9,5,
1,12:45 PM,1 1/4m,Dirt,120000,MSW,4,Una Quaedam,20.0,P,0,0,0,0,,0,0,0,0,3.8,3.8,3.8,3.8,6,
2,1:20 PM,4 1/2f,Dirt,92000,MSW,5,Happy Away,1.4,P,0,0,0,0,,0,0,0,0,32.7,32.7,32.7,32.7,1,YES
2,1:20 PM,4 1/2f,Dirt,92000,MSW,1,Sargent Bilko,3.5,P,0,0,0,0,,0,0,0,0,17.4,17.4,17.4,17.4,2,
2,1:20 PM,4 1/2f,Dirt,92000,MSW,3,Be My Pal,4.5,P,0,0,0,0,,0,0,0,0,14.3,14.3,14.3,14.3,3,
2,1:20 PM,4 1/2f,Dirt,92000,MSW,7,Uncle With Money,6.0,P,0,0,0,0,,0,0,0,0,11.2,11.2,11.2,11.2,4,
2,1:20 PM,4 1/2f,Dirt,92000,MSW,4,Tigrado,8.0,P,0,0,0,0,,0,0,0,0,8.7,8.7,8.7,8.7,5,
2,1:20 PM,4 1/2f,Dirt,92000,MSW,8,Mo Surprises,10.0,P,0,0,0,0,,0,0,0,0,7.1,7.1,7.1,7.1,6,
2,1:20 PM,4 1/2f,Dirt,92000,MSW,2,Tio Colocho,15.0,P,0,0,0,0,,0,0,0,0,4.9,4.9,4.9,4.9,7,
2,1:20 PM,4 1/2f,Dirt,92000,MSW,6,Mindful Keeper,20.0,P,0,0,0,0,,0,0,0,0,3.7,3.7,3.7,3.7,8,
3,1:56 PM,1m,Dirt,63000,CLM 30000,3,Lady Orient,1.2,P,0,0,0,0,,0,0,0,0,36.4,36.4,36.4,36.4,1,YES
3,1:56 PM,1m,Dirt,63000,CLM 30000,2,Barbratina,2.0,P,0,0,0,0,,0,0,0,0,26.7,26.7,26.7,26.7,2,
3,1:56 PM,1m,Dirt,63000,CLM 30000,5,Saint Nancy S,4.5,P,0,0,0,0,,0,0,0,0,14.6,14.6,14.6,14.6,3,
3,1:56 PM,1m,Dirt,63000,CLM 30000,1,Champagne Nights,8.0,P,0,0,0,0,,0,0,0,0,8.9,8.9,8.9,8.9,4,
3,1:56 PM,1m,Dirt,63000,CLM 30000,6,Wild Acclaim,10.0,P,0,0,0,0,,0,0,0,0,7.3,7.3,7.3,7.3,5,
3,1:56 PM,1m,Dirt,63000,CLM 30000,4,Mint Driven,12.0,P,0,0,0,0,,0,0,0,0,6.2,6.2,6.2,6.2,6,
4,3:05 PM,6f,Dirt,45000,CLM 12500,5,Lord Majesty,2.5,P,0,0,0,0,,0,0,0,0,22.7,22.7,22.7,22.7,1,YES
4,3:05 PM,6f,Dirt,45000,CLM 12500,1,Illini,3.0,P,0,0,0,0,,0,0,0,0,19.9,19.9,19.9,19.9,2,
4,3:05 PM,6f,Dirt,45000,CLM 12500,4,Upturned Brim,4.0,P,0,0,0,0,,0,0,0,0,15.9,15.9,15.9,15.9,3,
4,3:05 PM,6f,Dirt,45000,CLM 12500,8,Hocus,4.5,P,0,0,0,0,,0,0,0,0,14.4,14.4,14.4,14.4,4,
4,3:05 PM,6f,Dirt,45000,CLM 12500,2,Bet On Bret,8.0,P,0,0,0,0,,0,0,0,0,8.8,8.8,8.8,8.8,5,
4,3:05 PM,6f,Dirt,45000,CLM 12500,3,Be Here,10.0,P,0,0,0,0,,0,0,0,0,7.2,7.2,7.2,7.2,6,
4,3:05 PM,6f,Dirt,45000,CLM 12500,7,Outlier,12.0,P,0,0,0,0,,0,0,0,0,6.1,6.1,6.1,6.1,7,
4,3:05 PM,6f,Dirt,45000,CLM 12500,6,Ready Pursuit,15.0,P,0,0,0,0,,0,0,0,0,5.0,5.0,5.0,5.0,8,
5,3:38 PM,6 1/2f,Dirt,62000,ALW,1,Wistucky,1.4,P,0,0,0,0,,0,0,0,0,33.0,33.0,33.0,33.0,1,YES
5,3:38 PM,6 1/2f,Dirt,62000,ALW,3,Exploration,3.0,P,0,0,0,0,,0,0,0,0,19.8,19.8,19.8,19.8,2,
5,3:38 PM,6 1/2f,Dirt,62000,ALW,2,Baytown Bruiser,3.5,P,0,0,0,0,,0,0,0,0,17.6,17.6,17.6,17.6,3,
5,3:38 PM,6 1/2f,Dirt,62000,ALW,6,Tiger's Legacy,4.5,P,0,0,0,0,,0,0,0,0,14.4,14.4,14.4,14.4,4,
5,3:38 PM,6 1/2f,Dirt,62000,ALW,4,Bridge Classic,6.0,P,0,0,0,0,,0,0,0,0,11.3,11.3,11.3,11.3,5,
5,3:38 PM,6 1/2f,Dirt,62000,ALW,5,Michael's Cove,20.0,P,0,0,0,0,,0,0,0,0,3.8,3.8,3.8,3.8,6,
6,4:12 PM,6f,Dirt,35000,MCL 12500,13,Click,3.5,P,0,0,0,0,,0,0,0,0,14.9,14.9,14.9,14.9,1,YES
6,4:12 PM,6f,Dirt,35000,MCL 12500,2,Blasphemous Rumors,4.0,P,0,0,0,0,,0,0,0,0,13.4,13.4,13.4,13.4,2,
6,4:12 PM,6f,Dirt,35000,MCL 12500,7,Cocoa Nimbus,4.5,P,0,0,0,0,,0,0,0,0,12.2,12.2,12.2,12.2,3,
6,4:12 PM,6f,Dirt,35000,MCL 12500,8,Dancewhenyoucan,5.0,P,0,0,0,0,,0,0,0,0,11.2,11.2,11.2,11.2,4,
6,4:12 PM,6f,Dirt,35000,MCL 12500,11,Velveteen,6.0,P,0,0,0,0,,0,0,0,0,9.6,9.6,9.6,9.6,5,
6,4:12 PM,6f,Dirt,35000,MCL 12500,1,Cookie Time,8.0,P,0,0,0,0,,0,0,0,0,7.4,7.4,7.4,7.4,6,
6,4:12 PM,6f,Dirt,35000,MCL 12500,9,Dodecahedron,8.0,P,0,0,0,0,,0,0,0,0,7.4,7.4,7.4,7.4,7,
6,4:12 PM,6f,Dirt,35000,MCL 12500,3,Frosty for Ever,10.0,P,0,0,0,0,,0,0,0,0,6.1,6.1,6.1,6.1,8,
6,4:12 PM,6f,Dirt,35000,MCL 12500,6,Mariposa Moon,12.0,P,0,0,0,0,,0,0,0,0,5.2,5.2,5.2,5.2,9,
6,4:12 PM,6f,Dirt,35000,MCL 12500,10,Evalina,12.0,P,0,0,0,0,,0,0,0,0,5.2,5.2,5.2,5.2,10,
6,4:12 PM,6f,Dirt,35000,MCL 12500,5,Muscle Mommy,20.0,P,0,0,0,0,,0,0,0,0,3.2,3.2,3.2,3.2,11,
6,4:12 PM,6f,Dirt,35000,MCL 12500,4,Pauline's Angel,30.0,P,0,0,0,0,,0,0,0,0,2.2,2.2,2.2,2.2,12,
6,4:12 PM,6f,Dirt,35000,MCL 12500,12,Ojos Locos,30.0,P,0,0,0,0,,0,0,0,0,2.2,2.2,2.2,2.2,13,
7,4:44 PM,1m,Turf,78000,CLM 40000,4,Classy'n Connected,2.0,P,0,0,0,0,,0,0,0,0,25.9,25.9,25.9,25.9,1,YES
7,4:44 PM,1m,Turf,78000,CLM 40000,9,Dozen Diamonds,3.0,P,0,0,0,0,,0,0,0,0,19.5,19.5,19.5,19.5,2,
7,4:44 PM,1m,Turf,78000,CLM 40000,7,Goodbetterbest,4.0,P,0,0,0,0,,0,0,0,0,15.6,15.6,15.6,15.6,3,
7,4:44 PM,1m,Turf,78000,CLM 40000,2,Sheila's Lion,6.0,P,0,0,0,0,,0,0,0,0,11.1,11.1,11.1,11.1,4,
7,4:44 PM,1m,Turf,78000,CLM 40000,3,Jill Jitterbug,8.0,P,0,0,0,0,,0,0,0,0,8.6,8.6,8.6,8.6,5,
7,4:44 PM,1m,Turf,78000,CLM 40000,1,Missy Bee,10.0,P,0,0,0,0,,0,0,0,0,7.1,7.1,7.1,7.1,6,
7,4:44 PM,1m,Turf,78000,CLM 40000,5,Razzle Red,12.0,P,0,0,0,0,,0,0,0,0,6.0,6.0,6.0,6.0,7,
7,4:44 PM,1m,Turf,78000,CLM 40000,6,White Lilacs,20.0,P,0,0,0,0,,0,0,0,0,3.7,3.7,3.7,3.7,8,
7,4:44 PM,1m,Turf,78000,CLM 40000,8,Lady Blake,30.0,P,0,0,0,0,,0,0,0,0,2.5,2.5,2.5,2.5,9,
8,5:15 PM,6f,Dirt,36000,CLM 16000,3,Shadow Coast,3.5,P,0,0,0,0,,0,0,0,0,17.3,17.3,17.3,17.3,1,YES
8,5:15 PM,6f,Dirt,36000,CLM 16000,6,Chi Town Prince,4.5,P,0,0,0,0,,0,0,0,0,14.2,14.2,14.2,14.2,2,
8,5:15 PM,6f,Dirt,36000,CLM 16000,10,Where Y'at,5.0,P,0,0,0,0,,0,0,0,0,13.0,13.0,13.0,13.0,3,
8,5:15 PM,6f,Dirt,36000,CLM 16000,2,Guardian,6.0,P,0,0,0,0,,0,0,0,0,11.1,11.1,11.1,11.1,4,
8,5:15 PM,6f,Dirt,36000,CLM 16000,7,Army Wildcatter,6.0,P,0,0,0,0,,0,0,0,0,11.1,11.1,11.1,11.1,5,
8,5:15 PM,6f,Dirt,36000,CLM 16000,4,A Cab On the Rocks,8.0,P,0,0,0,0,,0,0,0,0,8.7,8.7,8.7,8.7,6,
8,5:15 PM,6f,Dirt,36000,CLM 16000,5,Mr. Sensei,12.0,P,0,0,0,0,,0,0,0,0,6.0,6.0,6.0,6.0,7,
8,5:15 PM,6f,Dirt,36000,CLM 16000,1,War Munny,15.0,P,0,0,0,0,,0,0,0,0,4.9,4.9,4.9,4.9,8,
8,5:15 PM,6f,Dirt,36000,CLM 16000,12,Stefan's Title,15.0,P,0,0,0,0,,0,0,0,0,4.9,4.9,4.9,4.9,9,
8,5:15 PM,6f,Dirt,36000,CLM 16000,9,Pulgarcito,20.0,P,0,0,0,0,,0,0,0,0,3.7,3.7,3.7,3.7,10,
8,5:15 PM,6f,Dirt,36000,CLM 16000,8,Dewy's Denali,30.0,P,0,0,0,0,,0,0,0,0,2.5,2.5,2.5,2.5,11,
8,5:15 PM,6f,Dirt,36000,CLM 16000,11,Imperial Ruler,30.0,P,0,0,0,0,,0,0,0,0,2.5,2.5,2.5,2.5,12,
9,5:46 PM,6f,Dirt,200000,Stakes,1,One Magic Philly,2.5,P,0,0,0,0,,0,0,0,0,22.6,22.6,22.6,22.6,1,YES
9,5:46 PM,6f,Dirt,200000,Stakes,4,Lotsandlotsofcandy,3.5,P,0,0,0,0,,0,0,0,0,17.6,17.6,17.6,17.6,2,
9,5:46 PM,6f,Dirt,200000,Stakes,7,Vincey Girl,4.5,P,0,0,0,0,,0,0,0,0,14.4,14.4,14.4,14.4,3,
9,5:46 PM,6f,Dirt,200000,Stakes,6,Zeitlos,5.0,P,0,0,0,0,,0,0,0,0,13.2,13.2,13.2,13.2,4,
9,5:46 PM,6f,Dirt,200000,Stakes,2,Jersey Pearl,6.0,P,0,0,0,0,,0,0,0,0,11.3,11.3,11.3,11.3,5,
9,5:46 PM,6f,Dirt,200000,Stakes,3,Mink's Palace,8.0,P,0,0,0,0,,0,0,0,0,8.8,8.8,8.8,8.8,6,
9,5:46 PM,6f,Dirt,200000,Stakes,8,Asternia,10.0,P,0,0,0,0,,0,0,0,0,7.2,7.2,7.2,7.2,7,
9,5:46 PM,6f,Dirt,200000,Stakes,5,Lucille Ball,15.0,P,0,0,0,0,,0,0,0,0,4.9,4.9,4.9,4.9,8,
10,6:16 PM,1 1/8m,Turf,127000,ALW,3,Without (IRE),1.6,P,0,0,0,0,,0,0,0,0,29.9,29.9,29.9,29.9,1,YES
10,6:16 PM,1 1/8m,Turf,127000,ALW,8,Treaty of Rome,4.0,P,0,0,0,0,,0,0,0,0,15.5,15.5,15.5,15.5,2,
10,6:16 PM,1 1/8m,Turf,127000,ALW,2,Ashley's Archer,4.5,P,0,0,0,0,,0,0,0,0,14.1,14.1,14.1,14.1,3,
10,6:16 PM,1 1/8m,Turf,127000,ALW,5,Seven Wonders,6.0,P,0,0,0,0,,0,0,0,0,11.1,11.1,11.1,11.1,4,
10,6:16 PM,1 1/8m,Turf,127000,ALW,6,Fort Thomas,8.0,P,0,0,0,0,,0,0,0,0,8.6,8.6,8.6,8.6,5,
10,6:16 PM,1 1/8m,Turf,127000,ALW,7,Theodore George,12.0,P,0,0,0,0,,0,0,0,0,6.0,6.0,6.0,6.0,6,
10,6:16 PM,1 1/8m,Turf,127000,ALW,10,Telescopic,15.0,P,0,0,0,0,,0,0,0,0,4.9,4.9,4.9,4.9,7,
10,6:16 PM,1 1/8m,Turf,127000,ALW,1,The Dover Specter,20.0,P,0,0,0,0,,0,0,0,0,3.7,3.7,3.7,3.7,8,
10,6:16 PM,1 1/8m,Turf,127000,ALW,9,Curlin's Gesture,20.0,P,0,0,0,0,,0,0,0,0,3.7,3.7,3.7,3.7,9,
10,6:16 PM,1 1/8m,Turf,127000,ALW,4,Ramblin,30.0,P,0,0,0,0,,0,0,0,0,2.5,2.5,2.5,2.5,10,
