race,race_type,structure,tickets,unit_cost,total_cost,hit_prob_est_pct,rationale
1,MSW,Superfecta 4-horse box,6-5-3-2 BOX,0.1,2.4,48.0,Top 4 cover 87% — cheap super box catches any order.
2,MSW,Trifecta 3-horse box,5-1-3 BOX,0.5,3.0,35.4,Top 3 cover 64% — tri box at $0.50.
3,CLM 30000,Trifecta key 1st OVER top 3,"3 / 2,5,1 / 2,5,1",0.5,3.0,28.7,"#3 Lady Orient dominates at 36%. Single on top, spread under."
4,CLM 12500,Superfecta 5-horse box (chaos play),5-1-4-8-2 BOX,0.1,12.0,36.8,Wide-open. Top 5 = 82%. Chaos super box.
5,ALW,Superfecta 4-horse box,1-3-2-6 BOX,0.1,2.4,46.7,Top 4 cover 85% — cheap super box catches any order.
6,MCL 12500,Superfecta 5-horse box (chaos play),13-2-7-8-11 BOX,0.1,12.0,27.5,Wide-open. Top 5 = 61%. Chaos super box.
7,CLM 40000,Superfecta 5-horse box (chaos play),4-9-7-2-3 BOX,0.1,12.0,36.3,Wide-open. Top 5 = 81%. Chaos super box.
8,CLM 16000,Superfecta 5-horse box (chaos play),3-6-10-2-7 BOX,0.1,12.0,30.1,Wide-open. Top 5 = 67%. Chaos super box.
9,Stakes,Superfecta 5-horse box (chaos play),1-4-7-6-2 BOX,0.1,12.0,35.6,Wide-open. Top 5 = 79%. Chaos super box.
10,ALW,Superfecta 5-horse box (chaos play),3-8-2-5-6 BOX,0.1,12.0,35.7,Wide-open. Top 5 = 79%. Chaos super box.
