race,post_time,distance,surface,purse,race_type,stakes,field_size,top1_program,top1_name,top1_pct,top2_program,top2_name,top2_pct,top3_program,top3_name,top3_pct,top4_program,top4_name,top4_pct,exotic_structure,exotic_unit_cost,exotic_total_cost,exotic_rationale
1,12:45 PM,1 1/16M,Dirt,83000,Starter Allowance,,7,5,Nogradi,27.5,6,Cant Stop Munnings,16.9,3,Different Gravy,14.5,2,Bourbon Flight,14.0,Superfecta 5-horse box (chaos play),0.1,12.0,Wide-open. Top 5 = 85%. Chaos super box.
2,1:14 PM,4 1/2F,Dirt,92000,MSW,,11,7,Cardio Cat,20.8,5,Go New York Go,14.3,8,She's Toasty,13.1,6,Valkyrie,13.1,Superfecta 5-horse box (chaos play),0.1,12.0,Wide-open. Top 5 = 72%. Chaos super box.
3,1:43 PM,6 1/2F,Dirt,48000,MCL,,10,1,Juanita Mychiquita,18.6,10,State Charmer,17.5,7,Gladly,13.0,8,Will Believe,12.3,Superfecta 5-horse box (chaos play),0.1,12.0,Wide-open. Top 5 = 71%. Chaos super box.
4,2:14 PM,7F,Dirt,78000,CLM,,8,8,Epic Summer,26.5,5,Mischief Mania,17.7,1,Nuck Chorris,15.7,7,Kid Twist,13.8,Superfecta 5-horse box (chaos play),0.1,12.0,Wide-open. Top 5 = 82%. Chaos super box.
5,2:47 PM,6F,Dirt,35000,MCL,,10,3,Calling On Heaven,37.1,6,Impavido,16.6,7,Next Time,13.1,2,Richeztoo,9.5,Trifecta key 1st OVER top 3,0.5,3.0,"#3 Calling On Heaven dominates at 37%. Single on top, spread under."
6,3:20 PM,5 1/2F,Turf,141000,AOC,,8,3,Run Curtis Run,22.4,2,Autodrive,17.2,1,Golden Afternoon,16.4,8,Step Forward,13.3,Superfecta 5-horse box (chaos play),0.1,12.0,Wide-open. Top 5 = 81%. Chaos super box.
7,3:51 PM,6F,Dirt,36000,CLM,,10,4,Sweet Bebsi,31.3,3,Ride the Broom,20.5,9,Loving Mischief,12.2,10,Waffle House Gang,9.6,Trifecta 3-horse box,0.5,3.0,Top 3 cover 64% — tri box at $0.50.
8,4:24 PM,1 1/4M,Dirt,120000,MSW,,9,2,Stompin Grapes,28.2,3,Tiernanogue,19.1,8,Direct Strike,13.6,1,King of Heat,11.3,Superfecta 5-horse box (chaos play),0.1,12.0,Wide-open. Top 5 = 83%. Chaos super box.
9,4:56 PM,1 1/16M,Turf,127000,ALW,,11,3,Brilliantly,21.6,1,Midway Memories,18.3,5,Snipsnippitysnip,14.0,9,Faithful Departed,10.1,Superfecta 5-horse box (chaos play),0.1,12.0,Wide-open. Top 5 = 72%. Chaos super box.
