race,race_type,structure,tickets,unit_cost,total_cost,hit_prob_est_pct,rationale
1,ALW 50000s,Superfecta 5-horse box (chaos play),5-3-7-6-2 BOX,0.1,12.0,34.9,Wide-open. Top 5 = 78%. Chaos super box.
2,MSW 92k,Superfecta 5-horse box (chaos play),7-1-8-5-6 BOX,0.1,12.0,28.6,Wide-open. Top 5 = 64%. Chaos super box.
3,MCL 20000,Superfecta 5-horse box (chaos play),10-1-2-4-6 BOX,0.1,12.0,29.7,Wide-open. Top 5 = 66%. Chaos super box.
4,CLM 40000,Superfecta 5-horse box (chaos play),8-7-5-1-6 BOX,0.1,12.0,31.6,Wide-open. Top 5 = 70%. Chaos super box.
5,MCL 12500,Superfecta 5-horse box (chaos play),3-9-10-7-2 BOX,0.1,12.0,29.6,Wide-open. Top 5 = 66%. Chaos super box.
6,OC 100000n3x,Superfecta 5-horse box (chaos play),1-2-3-8-6 BOX,0.1,12.0,30.7,Wide-open. Top 5 = 68%. Chaos super box.
7,CLM 16000n2L,Superfecta 5-horse box (chaos play),4-2-9-10-3 BOX,0.1,12.0,27.3,Wide-open. Top 5 = 61%. Chaos super box.
8,MSW 92k,Superfecta 5-horse box (chaos play),2-3-9-1-4 BOX,0.1,12.0,29.4,Wide-open. Top 5 = 65%. Chaos super box.
9,ALW 127000n1x,Superfecta 5-horse box (chaos play),3-2-1-10-4 BOX,0.1,12.0,25.7,Wide-open. Top 5 = 57%. Chaos super box.
