race,post_time,distance,surface,purse,race_type,stakes,field_size,top1_program,top1_name,top1_pct,top2_program,top2_name,top2_pct,top3_program,top3_name,top3_pct,top4_program,top4_name,top4_pct,exotic_structure,exotic_unit_cost,exotic_total_cost,exotic_rationale
1,12:45 PM,1m,Dirt,55000,Clm  16000,,8,1,Empire Builder,24.0,4,My Noble Knight,20.0,8,National Eclipse,19.3,7,Quokka,10.6,Trifecta 3-horse box,0.5,3.0,Top 3 cover 63% — tri box at $0.50.
2,1:15 PM,6 1/2f,Dirt,64000,Clm  25000,,7,5,Highly Flammable,25.2,6,Mister Mmmmm,21.5,1,Barksdale,21.3,4,Real Macho,18.8,Superfecta 4-horse box,0.1,2.4,Top 4 cover 87% — cheap super box catches any order.
3,1:45 PM,4 1/2f,Dirt,120000,Mdn 120k,,12,12,Bush,16.8,7,Ruiva,15.7,8,Just Epic,14.4,10,Champagne Dream,12.1,Superfecta 5-horse box (chaos play),0.1,12.0,Wide-open. Top 5 = 68%. Chaos super box.
4,2:16 PM,1 1/16m,Turf,67000,MC 50000,,15,6,Abbi Fede,15.3,4,Turbo Launch,15.2,8,Newman,12.8,7,Feral,10.7,Superfecta 5-horse box (chaos play),0.1,12.0,Wide-open. Top 5 = 62%. Chaos super box.
5,2:47 PM,6f,Dirt,67000,MC 50000,,10,10,Ribadeo,18.9,9,Scarce,18.3,4,Diagram,14.2,3,Go Go Playmate,13.7,Superfecta 5-horse box (chaos play),0.1,12.0,Wide-open. Top 5 = 74%. Chaos super box.
6,3:20 PM,5f,Dirt,250000,KyJuvnileB250K,,8,2,Skara Brae,34.6,4,Waggley,29.0,7,Peak Perspective,11.4,5,Super Saiyajin,8.9,Trifecta key 1st OVER top 3,0.5,3.0,"#2 Skara Brae dominates at 35%. Single on top, spread under."
7,3:52 PM,5f,Turf,134000,OC  80000n2x,,13,2,Shoot It True,30.4,9,Roja,15.8,10,Rosato,10.9,5,Justinqueso,7.4,Superfecta 5-horse box (chaos play),0.1,12.0,Wide-open. Top 5 = 71%. Chaos super box.
8,4:25 PM,7f,Dirt,83000,Alw  50000s,,10,3,Sharons Beach,22.6,4,Mo Work,16.2,1,Norwich,14.7,7,South Bend Tom,11.5,Superfecta 5-horse box (chaos play),0.1,12.0,Wide-open. Top 5 = 74%. Chaos super box.
9,4:56 PM,1Â½ Mile,Dirt,200000,IMphyMthnL200K,,9,2,Parchment Party,24.9,1,No Bien Ni Mal,18.7,8,Wynstock,15.7,5,Interceptor,11.5,Superfecta 5-horse box (chaos play),0.1,12.0,Wide-open. Top 5 = 79%. Chaos super box.
10,5:27 PM,1 1/16m,Turf,62000,Clm 30000n2L,,16,9,Twolatebabydoll,19.2,6,Never Really Know,12.3,13,Texas Holiday,11.0,12,Heart Spin,10.5,Superfecta 5-horse box (chaos play),0.1,12.0,Wide-open. Top 5 = 61%. Chaos super box.
